"age","sex","category","population"
0,"Miehet","v1990",18
0,"Miehet","v2010",6
0,"Miehet","v2024",5
1,"Miehet","v1990",12
1,"Miehet","v2010",11
1,"Miehet","v2024",6
2,"Miehet","v1990",21
2,"Miehet","v2010",8
2,"Miehet","v2024",4
3,"Miehet","v1990",12
3,"Miehet","v2010",8
3,"Miehet","v2024",3
4,"Miehet","v1990",22
4,"Miehet","v2010",8
4,"Miehet","v2024",2
5,"Miehet","v1990",21
5,"Miehet","v2010",12
5,"Miehet","v2024",4
6,"Miehet","v1990",16
6,"Miehet","v2010",5
6,"Miehet","v2024",6
7,"Miehet","v1990",22
7,"Miehet","v2010",6
7,"Miehet","v2024",7
8,"Miehet","v1990",20
8,"Miehet","v2010",12
8,"Miehet","v2024",4
9,"Miehet","v1990",18
9,"Miehet","v2010",16
9,"Miehet","v2024",8
10,"Miehet","v1990",24
10,"Miehet","v2010",18
10,"Miehet","v2024",7
11,"Miehet","v1990",23
11,"Miehet","v2010",7
11,"Miehet","v2024",5
12,"Miehet","v1990",21
12,"Miehet","v2010",5
12,"Miehet","v2024",7
13,"Miehet","v1990",22
13,"Miehet","v2010",10
13,"Miehet","v2024",7
14,"Miehet","v1990",19
14,"Miehet","v2010",11
14,"Miehet","v2024",7
15,"Miehet","v1990",18
15,"Miehet","v2010",13
15,"Miehet","v2024",7
16,"Miehet","v1990",21
16,"Miehet","v2010",9
16,"Miehet","v2024",5
17,"Miehet","v1990",19
17,"Miehet","v2010",8
17,"Miehet","v2024",5
18,"Miehet","v1990",21
18,"Miehet","v2010",15
18,"Miehet","v2024",11
19,"Miehet","v1990",18
19,"Miehet","v2010",13
19,"Miehet","v2024",8
20,"Miehet","v1990",18
20,"Miehet","v2010",13
20,"Miehet","v2024",5
21,"Miehet","v1990",9
21,"Miehet","v2010",9
21,"Miehet","v2024",5
22,"Miehet","v1990",16
22,"Miehet","v2010",9
22,"Miehet","v2024",5
23,"Miehet","v1990",17
23,"Miehet","v2010",9
23,"Miehet","v2024",7
24,"Miehet","v1990",13
24,"Miehet","v2010",9
24,"Miehet","v2024",4
25,"Miehet","v1990",24
25,"Miehet","v2010",9
25,"Miehet","v2024",4
26,"Miehet","v1990",17
26,"Miehet","v2010",6
26,"Miehet","v2024",2
27,"Miehet","v1990",13
27,"Miehet","v2010",7
27,"Miehet","v2024",4
28,"Miehet","v1990",18
28,"Miehet","v2010",10
28,"Miehet","v2024",7
29,"Miehet","v1990",11
29,"Miehet","v2010",6
29,"Miehet","v2024",4
30,"Miehet","v1990",15
30,"Miehet","v2010",10
30,"Miehet","v2024",5
31,"Miehet","v1990",26
31,"Miehet","v2010",10
31,"Miehet","v2024",12
32,"Miehet","v1990",22
